station_name,total_sessions,mean_arrivals_day,fault_rate,zero_energy_rate,flex_rate,mean_duration,median_duration,mean_energy,pct_dc_fast,iat_mean,iat_var,dispersion_index
Tongxiang_Bus Station,60809,83.0724043715847,0.1003798779785887,0.09337433603578418,0.349010837211597,72.8334294679944,45.43333333333333,20.605132502584755,0.34895068110500443,17.311504791036267,2319.1700419367567,133.96698149184587
Tongxiang_Park B,57294,78.27049180327869,0.08604740461479388,0.0568645931511153,0.3427933116905784,67.71381424729192,49.666666666666664,22.068002998001333,0.35133984750906805,18.373762065173754,5083.619923080022,276.6782276295874
Tongxiang_Shopping Mall,56605,77.3292349726776,0.25533080116597473,0.17122162353149015,0.3066690221711863,75.25161398048871,46.61666666666667,18.218120137275385,0.2022253959456867,18.59852837255318,1609.873883101455,86.5592078498657
Xiuzhou_Expressway Service District C,50187,68.56147540983606,0.30398310319405425,0.20511287783689003,0.32614023551915833,31.10341831064765,26.833333333333332,15.167281227282981,0.5388414007469983,20.974287649942216,2540.921263308063,121.14457976908041
Xiuzhou_Government Agency,36551,49.93306010928962,0.12281469727230446,0.08566113102240705,0.36743180761128286,79.06608916816278,47.78333333333333,22.990177139437463,0.419509275882705,28.801536251709983,9910.527926333816,344.0971981397491
Xiuzhou_Wholesale Market,34491,47.118852459016395,0.26537357571540404,0.19941433997274652,0.4191238294047723,83.48815594104227,37.68333333333333,16.544319704487016,0.2613261869409336,30.48408234270803,17555.161259744036,575.8796037350073
Nanhu_Technology Park,28867,39.435792349726775,0.0971351370076558,0.04253992448124155,0.37042297433055044,58.16616918122942,39.766666666666666,19.760372661818444,0.4406454647418503,31.74569158641077,4527.717037194562,142.6246148983795
Tongxiang_Park A,27845,38.0396174863388,0.20269348177410665,0.06446399712695278,0.4303824744119231,43.8353525271913,24.383333333333333,12.620335892514396,0.27616122840690976,37.78658478188,13695.254234998854,362.4369419478791
Nanhu_Tourist Attraction,23659,32.32103825136612,0.26269073080011834,0.14353945644363666,0.38568832156895894,47.05383704288605,24.583333333333332,17.57540295119183,0.4763361792429551,44.489230563304865,32178.48926062606,723.2871608071185
Nanhu_Financial Industrial Park,18923,25.851092896174862,0.1940495693071923,0.09121175289330444,0.35015589494266236,56.234710511523325,44.333333333333336,20.214476362156187,0.36192359132406815,55.57359334813093,63402.16341075589,1140.8685238973892
Tongxiang_Industrial Park,18370,25.095628415300546,0.07947740881872618,0.07196516058791508,0.28388677191072403,72.23015407476929,38.333333333333336,18.094877404974188,0.3569920225246363,57.28963471065382,17788.633817829683,310.50353013547203
Xiuzhou_Expressway Service District A,15075,20.59426229508197,0.32411276948590384,0.2551243781094527,0.3365174129353234,31.656913646213674,26.633333333333333,16.0230928844955,0.5909698103125834,69.82917606474724,27405.12943888118,392.45958470812405
Xiuzhou_Expressway Service District B,12401,16.941256830601095,0.23127167163938392,0.19167809047657447,0.383033626320458,34.03861399308327,28.85,16.8955656424581,0.6045490822027135,84.88648655913978,27121.31285112927,319.5009470940237
