station_name,day_label,fleet_label,n_chargers,metric,fcfs_value,lp_value,delta,pct_change
Xiuzhou_Government Agency,high_demand_summer_weekday,s_star_-4,4,tou_cost_yuan,1094.31,1095.84,1.53,0.14
Xiuzhou_Government Agency,low_demand_winter_weekday,s_star_-4,4,mean_wait_min,0.0,18.41,18.41,0.0
Xiuzhou_Government Agency,low_demand_winter_weekday,s_star_-4,4,p_wait_gt_15min,0.0,0.6,0.6,0.0
Xiuzhou_Government Agency,low_demand_winter_weekday,s_star_-4,4,mean_utilization,0.0985,0.0984,-0.0001,-0.1
Xiuzhou_Government Agency,low_demand_winter_weekday,s_star_-4,4,tou_cost_yuan,201.67,200.85,-0.82,-0.41
Xiuzhou_Government Agency,rainy_day,s_star_-4,4,mean_wait_min,11.603,49.006,37.403,322.36
Xiuzhou_Government Agency,rainy_day,s_star_-4,4,p_wait_gt_15min,0.2115,0.75,0.5385,254.61
Xiuzhou_Government Agency,rainy_day,s_star_-4,4,mean_utilization,0.5556,0.5229,-0.0327,-5.89
Xiuzhou_Government Agency,rainy_day,s_star_-4,4,tou_cost_yuan,704.29,659.15,-45.14,-6.41
Xiuzhou_Government Agency,holiday,s_star_-4,4,mean_wait_min,318.626,475.046,156.42,49.09
Xiuzhou_Government Agency,holiday,s_star_-4,4,p_wait_gt_15min,1.0,1.0,0.0,0.0
Xiuzhou_Government Agency,holiday,s_star_-4,4,mean_utilization,1.0,0.8969,-0.1031,-10.31
Xiuzhou_Government Agency,holiday,s_star_-4,4,tou_cost_yuan,1200.46,1163.78,-36.68,-3.06
Xiuzhou_Government Agency,weekend,s_star_-4,4,mean_wait_min,82.001,161.301,79.3,96.71
Xiuzhou_Government Agency,weekend,s_star_-4,4,p_wait_gt_15min,0.7797,0.9831,0.2034,26.09
Xiuzhou_Government Agency,weekend,s_star_-4,4,mean_utilization,0.8883,0.8568,-0.0315,-3.55
Xiuzhou_Government Agency,weekend,s_star_-4,4,tou_cost_yuan,904.89,943.17,38.28,4.23
Tongxiang_Bus Station,high_demand_summer_weekday,s_star_-2,8,mean_wait_min,0.0,46.359,46.359,0.0
Tongxiang_Bus Station,high_demand_summer_weekday,s_star_-2,8,p_wait_gt_15min,0.0,0.822,0.822,0.0
Tongxiang_Bus Station,high_demand_summer_weekday,s_star_-2,8,mean_utilization,0.6774,0.6607,-0.0167,-2.47
Tongxiang_Bus Station,high_demand_summer_weekday,s_star_-2,8,tou_cost_yuan,1751.4,1740.4,-11.0,-0.63
Tongxiang_Bus Station,low_demand_winter_weekday,s_star_-2,8,mean_wait_min,0.0,31.145,31.145,0.0
Tongxiang_Bus Station,low_demand_winter_weekday,s_star_-2,8,p_wait_gt_15min,0.0,0.6111,0.6111,0.0
Tongxiang_Bus Station,low_demand_winter_weekday,s_star_-2,8,mean_utilization,0.1783,0.1759,-0.0024,-1.35
Tongxiang_Bus Station,low_demand_winter_weekday,s_star_-2,8,tou_cost_yuan,296.75,238.44,-58.31,-19.65
Tongxiang_Bus Station,rainy_day,s_star_-2,8,mean_wait_min,0.0,13.059,13.059,0.0
Tongxiang_Bus Station,rainy_day,s_star_-2,8,p_wait_gt_15min,0.0,0.3636,0.3636,0.0
Tongxiang_Bus Station,rainy_day,s_star_-2,8,mean_utilization,0.4063,0.4025,-0.0038,-0.94
Tongxiang_Bus Station,rainy_day,s_star_-2,8,tou_cost_yuan,647.42,603.57,-43.85,-6.77
Tongxiang_Bus Station,holiday,s_star_-2,8,mean_wait_min,0.0,26.031,26.031,0.0
Tongxiang_Bus Station,holiday,s_star_-2,8,p_wait_gt_15min,0.0,0.6869,0.6869,0.0
Tongxiang_Bus Station,holiday,s_star_-2,8,mean_utilization,0.598,0.5868,-0.0112,-1.87
Tongxiang_Bus Station,holiday,s_star_-2,8,tou_cost_yuan,1439.42,1378.71,-60.71,-4.22
Tongxiang_Bus Station,weekend,s_star_-2,8,mean_wait_min,0.0,18.414,18.414,0.0
Tongxiang_Bus Station,weekend,s_star_-2,8,p_wait_gt_15min,0.0,0.5156,0.5156,0.0
Tongxiang_Bus Station,weekend,s_star_-2,8,mean_utilization,0.3641,0.359,-0.0051,-1.4
Tongxiang_Bus Station,weekend,s_star_-2,8,tou_cost_yuan,936.4,878.39,-58.01,-6.2
Tongxiang_Bus Station,high_demand_summer_weekday,s_star_-4,6,mean_wait_min,11.287,163.308,152.021,1346.87
Tongxiang_Bus Station,high_demand_summer_weekday,s_star_-4,6,p_wait_gt_15min,0.3305,0.9407,0.6102,184.63
Tongxiang_Bus Station,high_demand_summer_weekday,s_star_-4,6,mean_utilization,0.8906,0.7435,-0.1471,-16.52
