station_name,day_label,metric,fcfs_value,lp_value,delta,pct_change
Tongxiang_Bus Station,low_demand_winter_weekday,tou_cost_yuan,296.75,238.44,-58.31,-19.65
Tongxiang_Bus Station,rainy_day,mean_wait_min,0.0,13.059,13.059,0.0
Tongxiang_Bus Station,rainy_day,p_wait_gt_15min,0.0,0.3636,0.3636,0.0
Tongxiang_Bus Station,rainy_day,mean_utilization,0.3251,0.322,-0.0031,-0.95
Tongxiang_Bus Station,rainy_day,tou_cost_yuan,647.42,603.57,-43.85,-6.77
Tongxiang_Bus Station,holiday,mean_wait_min,0.0,21.182,21.182,0.0
Tongxiang_Bus Station,holiday,p_wait_gt_15min,0.0,0.596,0.596,0.0
Tongxiang_Bus Station,holiday,mean_utilization,0.4784,0.4736,-0.0048,-1.0
Tongxiang_Bus Station,holiday,tou_cost_yuan,1439.42,1413.23,-26.19,-1.82
Tongxiang_Bus Station,weekend,mean_wait_min,0.0,18.414,18.414,0.0
Tongxiang_Bus Station,weekend,p_wait_gt_15min,0.0,0.5156,0.5156,0.0
Tongxiang_Bus Station,weekend,mean_utilization,0.2912,0.2872,-0.004,-1.37
Tongxiang_Bus Station,weekend,tou_cost_yuan,936.4,878.39,-58.01,-6.2
