station,n_chargers,metric_family,metric_name,sim_utilization,sim_p_wait_gt_15min,sim_p_wait_gt_15min_ci95,sim_p_wait_gt_15min_upper95,sim_mean_wait_min,same_metric_basis
Xiuzhou_Government Agency,10,simulation_full_day_nhpp,p_wait_gt_15min,0.24414510136782552,0.00039760703503327654,0.0002435941391188005,0.000641201174152077,0.021884906781520316,fleet-frontier rows are comparable to each other
Xiuzhou_Government Agency,12,simulation_full_day_nhpp,p_wait_gt_15min,0.2034542511398545,1.3054830287206266e-05,2.558746736292428e-05,3.864229765013054e-05,0.0019600160006784644,fleet-frontier rows are comparable to each other
Xiuzhou_Government Agency,14,simulation_full_day_nhpp,p_wait_gt_15min,0.17438935811987533,0.0,0.0,0.0,0.00016449418982056595,fleet-frontier rows are comparable to each other
Xiuzhou_Government Agency,16,simulation_full_day_nhpp,p_wait_gt_15min,0.15259068835489098,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Xiuzhou_Government Agency,18,simulation_full_day_nhpp,p_wait_gt_15min,0.1356361674265698,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Xiuzhou_Government Agency,20,simulation_full_day_nhpp,p_wait_gt_15min,0.12207255068391276,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Xiuzhou_Government Agency,22,simulation_full_day_nhpp,p_wait_gt_15min,0.11097504607628433,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Xiuzhou_Government Agency,24,simulation_full_day_nhpp,p_wait_gt_15min,0.10172712556992725,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Xiuzhou_Government Agency,26,simulation_full_day_nhpp,p_wait_gt_15min,0.0939019620645483,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Xiuzhou_Government Agency,28,simulation_full_day_nhpp,p_wait_gt_15min,0.08719467905993766,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Xiuzhou_Government Agency,30,simulation_full_day_nhpp,p_wait_gt_15min,0.08138170045594188,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,2,simulation_full_day_nhpp,p_wait_gt_15min,1.0,1.0,0.0,1.0,17807.171078863616,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,4,simulation_full_day_nhpp,p_wait_gt_15min,0.9984134387529078,0.9974117342999665,0.002196988489765432,0.999608722789732,2461.460233961558,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,6,simulation_full_day_nhpp,p_wait_gt_15min,0.7164964242130715,0.4936705348649585,0.013361328339982218,0.5070318632049408,50.74007867841146,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,8,simulation_full_day_nhpp,p_wait_gt_15min,0.537625964008661,0.1494556864010189,0.009399611735751464,0.15885529813677035,8.166974231854585,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,10,simulation_full_day_nhpp,p_wait_gt_15min,0.4302003833462182,0.028537205979691206,0.003332169704377461,0.03186937568406867,1.2414222950674423,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,12,simulation_full_day_nhpp,p_wait_gt_15min,0.3585128106926901,0.003763335176530458,0.000830025029238292,0.00459336020576875,0.1789658675538044,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,14,simulation_full_day_nhpp,p_wait_gt_15min,0.3072987144287195,0.00038232461892722655,0.0002240668573869765,0.0006063914763142031,0.02304322516603625,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,16,simulation_full_day_nhpp,p_wait_gt_15min,0.2688867258000796,2.4053398435188998e-05,2.6660812894548406e-05,5.0714211329737404e-05,0.002688386456867212,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,18,simulation_full_day_nhpp,p_wait_gt_15min,0.23901042599448832,0.0,0.0,0.0,8.054204782580326e-05,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,20,simulation_full_day_nhpp,p_wait_gt_15min,0.21510938339503965,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,22,simulation_full_day_nhpp,p_wait_gt_15min,0.19555398490458148,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,24,simulation_full_day_nhpp,p_wait_gt_15min,0.17925781949586636,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,26,simulation_full_day_nhpp,p_wait_gt_15min,0.16546875645772274,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,28,simulation_full_day_nhpp,p_wait_gt_15min,0.15364955956788548,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
Tongxiang_Bus Station,30,simulation_full_day_nhpp,p_wait_gt_15min,0.1434062555966929,0.0,0.0,0.0,0.0,fleet-frontier rows are comparable to each other
