station,n_chargers,metric_family,metric_name,rho_peak_hour,mms_p_wait_gt_15_peak_hour,note
Nanhu_Technology Park,28,analytical_peak_hour_mms,p_wait_gt_15min,0.09648619865301106,6.678168024381198e-25,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Nanhu_Technology Park,30,analytical_peak_hour_mms,p_wait_gt_15min,0.09005378540947699,1.9899339050210897e-27,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,4,analytical_peak_hour_mms,p_wait_gt_15min,0.9533188884169602,0.8206192439997371,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,6,analytical_peak_hour_mms,p_wait_gt_15min,0.6355459256113069,0.08344970850195949,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,8,analytical_peak_hour_mms,p_wait_gt_15min,0.4766594442084801,0.006091903231312524,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,10,analytical_peak_hour_mms,p_wait_gt_15min,0.3813275553667841,0.00031708987158278376,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,12,analytical_peak_hour_mms,p_wait_gt_15min,0.3177729628056534,1.2002730729287492e-05,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,14,analytical_peak_hour_mms,p_wait_gt_15min,0.27237682526198864,3.405625262883051e-07,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,16,analytical_peak_hour_mms,p_wait_gt_15min,0.23832972210424005,7.465857037426394e-09,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,18,analytical_peak_hour_mms,p_wait_gt_15min,0.21184864187043562,1.2985825848761493e-10,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,20,analytical_peak_hour_mms,p_wait_gt_15min,0.19066377768339204,1.8328231169273744e-12,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,22,analytical_peak_hour_mms,p_wait_gt_15min,0.17333070698490186,2.139093043309491e-14,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,24,analytical_peak_hour_mms,p_wait_gt_15min,0.1588864814028267,2.0975953677804324e-16,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,26,analytical_peak_hour_mms,p_wait_gt_15min,0.14666444437184004,1.751850555026284e-18,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Xiuzhou_Government Agency,28,analytical_peak_hour_mms,p_wait_gt_15min,0.13618841263099432,1.2607529721199447e-20,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
