station,n_chargers,metric_family,metric_name,rho_peak_hour,mms_p_wait_gt_0,mgs_p_wait_gt_0,note
Xiuzhou_Government Agency,8,analytical_peak_hour,p_wait_gt_0,0.4766594442084801,0.0168297702789005,0.0237970823310422,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,10,analytical_peak_hour,p_wait_gt_0,0.3813275553667841,0.0014234059893106,0.0023748829172215,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,12,analytical_peak_hour,p_wait_gt_0,0.3177729628056534,8.75482982516725e-05,0.0001723570344338,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,14,analytical_peak_hour,p_wait_gt_0,0.27237682526198864,4.036321312976683e-06,9.376374065712151e-06,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,16,analytical_peak_hour,p_wait_gt_0,0.23832972210424005,1.437771162139965e-07,3.941003785327576e-07,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,18,analytical_peak_hour,p_wait_gt_0,0.21184864187043562,4.063505952159012e-09,1.3142738693345706e-08,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,20,analytical_peak_hour,p_wait_gt_0,0.19066377768339204,9.319081429283972e-11,3.5565258461524215e-10,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,22,analytical_peak_hour,p_wait_gt_0,0.17333070698490186,1.767272236484351e-12,7.958371475717471e-12,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,24,analytical_peak_hour,p_wait_gt_0,0.1588864814028267,2.8158967175848742e-14,1.496254133969015e-13,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,26,analytical_peak_hour,p_wait_gt_0,0.14666444437184004,3.821318951420325e-16,2.3959062448463376e-15,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,28,analytical_peak_hour,p_wait_gt_0,0.13618841263099432,4.4685586301080175e-18,3.30591651029001e-17,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Government Agency,30,analytical_peak_hour,p_wait_gt_0,0.12710918512226135,4.548649377476645e-20,3.9707703653788673e-19,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,8,analytical_peak_hour,p_wait_gt_0,0.7571980904360056,0.2369740773976262,0.2758898517431785,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,10,analytical_peak_hour,p_wait_gt_0,0.6057584723488046,0.0430108960248034,0.0585606549895103,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,12,analytical_peak_hour,p_wait_gt_0,0.5047987269573371,0.0061157524521603,0.0097380025606193,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,14,analytical_peak_hour,p_wait_gt_0,0.4326846231062889,0.0006807819223235,0.0012677118558475,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,16,analytical_peak_hour,p_wait_gt_0,0.3785990452180028,5.9981233369875325e-05,0.0001306232483492,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,18,analytical_peak_hour,p_wait_gt_0,0.33653248463822477,4.251145322503835e-06,1.082688664835632e-05,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,20,analytical_peak_hour,p_wait_gt_0,0.3028792361744023,2.465375992442868e-07,7.34299702154378e-07,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,22,analytical_peak_hour,p_wait_gt_0,0.27534476015854753,1.1886829767445041e-08,4.1404618122498815e-08,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,24,analytical_peak_hour,p_wait_gt_0,0.25239936347866854,4.833224309306301e-10,1.9688482422933404e-09,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,26,analytical_peak_hour,p_wait_gt_0,0.2329840278264633,1.6781742647014804e-11,7.994750202370658e-11,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,28,analytical_peak_hour,p_wait_gt_0,0.21634231155314446,5.030851261083903e-13,2.8028629972323277e-12,Reference only; not same metric as full-day P(W>15).
Tongxiang_Bus Station,30,analytical_peak_hour,p_wait_gt_0,0.20191949078293484,1.3147710305255764e-14,8.566493108406633e-14,Reference only; not same metric as full-day P(W>15).
