station,n_chargers,faults,mean_utilization_mean,mean_utilization_std,mean_utilization_ci95,mean_wait_mean,mean_wait_std,mean_wait_ci95,median_wait_mean,median_wait_std,median_wait_ci95,p95_wait_mean,p95_wait_std,p95_wait_ci95,p_wait_gt_10min_mean,p_wait_gt_10min_std,p_wait_gt_10min_ci95,p_wait_gt_15min_mean,p_wait_gt_15min_std,p_wait_gt_15min_ci95,throughput_per_hour_mean,throughput_per_hour_std,throughput_per_hour_ci95,n_sessions_mean,n_sessions_std,n_sessions_ci95,fault_fraction_mean,fault_fraction_std,fault_fraction_ci95,p_wait_gt_15min_upper95
Xiuzhou_Expressway Service District A,2,on,0.493020495059235,0.031359796080591903,0.008780742902565733,51.680256260153044,13.591028079108204,3.8054878621502968,4.006220564456016,4.718275584885625,1.3211171637679746,257.01091007027804,75.38079841789185,21.106623557009716,0.4506210229901246,0.042474010210648214,0.0118927228589815,0.42238245356786897,0.04470446917300704,0.012517251368441971,0.8559444444444446,0.029792285023367726,0.008341839806542963,616.52,21.417039944866332,5.996771184562572,0.16909287558380218,0.01699925109608471,0.0047597903069037184,0.4348997049363109
Xiuzhou_Expressway Service District A,4,on,0.24658200648408785,0.015865619006932112,0.0044423733219409916,1.858506397860615,1.3363627903452207,0.37418158129666174,0.0,0.0,0.0,8.928913018449347,7.262723937661768,2.0335627025452947,0.04591181368335679,0.017082335671898336,0.004783053988131535,0.03744991061342648,0.01597768498868674,0.0044737517968322866,0.8559444444444446,0.029792285023367726,0.008341839806542963,616.52,21.417039944866332,5.996771184562572,0.16909287558380218,0.01699925109608471,0.0047597903069037184,0.041923662410258765
Xiuzhou_Expressway Service District A,6,on,0.16438939334304334,0.01057383812730165,0.0029606746756444618,0.09595264197378015,0.20796823666227418,0.05823110626543677,0.0,0.0,0.0,0.0,0.0,0.0,0.0027569601234104972,0.004296343924647003,0.0012029762989011611,0.0017960336758546488,0.003948858168131468,0.001105680287076811,0.8559444444444446,0.029792285023367726,0.008341839806542963,616.52,21.417039944866332,5.996771184562572,0.16909287558380218,0.01699925109608471,0.0047597903069037184,0.0029017139629314596
Xiuzhou_Expressway Service District A,8,on,0.12329204500728247,0.007930378595476241,0.002220506006733347,0.0044936525800691185,0.020934754631559454,0.005861731296836648,0.0,0.0,0.0,0.0,0.0,0.0,0.00022679626453211358,0.0011179550198362833,0.00031302740555415933,9.433962264150943e-05,0.0006603773584905661,0.0001849056603773585,0.8559444444444446,0.029792285023367726,0.008341839806542963,616.52,21.417039944866332,5.996771184562572,0.16909287558380218,0.01699925109608471,0.0047597903069037184,0.0002792452830188679
Xiuzhou_Expressway Service District A,10,on,0.09863363600582595,0.006344302876381008,0.0017764048053866821,8.970564265459784e-05,0.0006279394985821848,0.00017582305960301174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8559444444444446,0.029792285023367726,0.008341839806542963,616.52,21.417039944866332,5.996771184562572,0.16909287558380218,0.01699925109608471,0.0047597903069037184,0.0
Xiuzhou_Expressway Service District A,12,on,0.08219469667152168,0.005286919063650823,0.0014803373378222302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8559444444444446,0.029792285023367726,0.008341839806542963,616.52,21.417039944866332,5.996771184562572,0.16909287558380218,0.01699925109608471,0.0047597903069037184,0.0
Xiuzhou_Expressway Service District A,14,on,0.07045259714701854,0.004531644911700707,0.0012688605752761977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8559444444444446,0.029792285023367726,0.008341839806542963,616.52,21.417039944866332,5.996771184562572,0.16909287558380218,0.01699925109608471,0.0047597903069037184,0.0
Xiuzhou_Expressway Service District A,16,on,0.061646022503641235,0.003965189297738121,0.0011102530033666735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8559444444444446,0.029792285023367726,0.008341839806542963,616.52,21.417039944866332,5.996771184562572,0.16909287558380218,0.01699925109608471,0.0047597903069037184,0.0
Xiuzhou_Expressway Service District A,18,on,0.054796464447681104,0.003524612709100548,0.0009868915585481534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8559444444444446,0.029792285023367726,0.008341839806542963,616.52,21.417039944866332,5.996771184562572,0.16909287558380218,0.01699925109608471,0.0047597903069037184,0.0
Xiuzhou_Expressway Service District A,20,on,0.049316818002912974,0.003172151438190504,0.0008882024026933411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8559444444444446,0.029792285023367726,0.008341839806542963,616.52,21.417039944866332,5.996771184562572,0.16909287558380218,0.01699925109608471,0.0047597903069037184,0.0
