station,n_chargers,activation_mode,faults,n_reps_clean,n_reps_drain_hit,mean_utilization_mean,mean_utilization_std,mean_utilization_ci95,mean_utilization_static_mean,mean_utilization_static_std,mean_utilization_static_ci95,mean_wait_mean,mean_wait_std,mean_wait_ci95,p_wait_gt_15min_mean,p_wait_gt_15min_std,p_wait_gt_15min_ci95,active_charger_hours_mean,active_charger_hours_std,active_charger_hours_ci95,scheduled_charger_hours_mean,scheduled_charger_hours_std,scheduled_charger_hours_ci95,n_sessions_mean,n_sessions_std,n_sessions_ci95,fault_fraction_mean,fault_fraction_std,fault_fraction_ci95,throughput_per_hour_mean,throughput_per_hour_std,throughput_per_hour_ci95,p_wait_gt_10min_mean,p_wait_gt_10min_std,p_wait_gt_10min_ci95,median_wait_mean,median_wait_std,median_wait_ci95,p95_wait_mean,p95_wait_std,p95_wait_ci95,p_wait_gt_15min_upper95
Xiuzhou_Expressway Service District A,2,full,ON,50,0,0.493020495059235,0.031359796080591903,0.00869249199036383,0.493020495059235,0.031359796080591903,0.00869249199036383,51.680256260153044,13.591028079108204,3.767240782269402,0.42238245356786897,0.04470446917300704,0.012391446654218674,1440.0,0.0,0.0,1440.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.4506210229901246,0.042474010210648214,0.011773194972501316,4.006220564456016,4.718275584885625,1.3078392673391832,257.01091007027804,75.38079841789185,20.89449130315862,0.4347739002220876
Xiuzhou_Expressway Service District A,4,full,ON,50,0,0.24658200648408785,0.015865619006932112,0.004397725220709359,0.24658200648408785,0.015865619006932112,0.004397725220709359,1.858506397860615,1.3363627903452207,0.3704208669419649,0.03744991061342648,0.01597768498868674,0.004428788326039856,2880.0,0.0,0.0,2880.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.04591181368335679,0.017082335671898336,0.004734981873704835,0.0,0.0,0.0,8.928913018449347,7.262723937661768,2.013124367712948,0.04187869893946634
Xiuzhou_Expressway Service District A,6,full,ON,50,0,0.16438939334304334,0.01057383812730165,0.0029309183960496733,0.16438939334304334,0.010573838127301656,0.002930918396049675,0.09595264197378015,0.20796823666227418,0.05764585416279871,0.0017960336758546488,0.003948858168131468,0.0010945676403428225,4319.999999999999,5.5202657333187816e-12,1.5301395949207245e-12,4320.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0027569601234104972,0.004296343924647003,0.0011908857779835884,0.0,0.0,0.0,0.0,0.0,0.0,0.0028906013161974714
Xiuzhou_Expressway Service District A,8,full,ON,50,0,0.12329204500728247,0.007930378595476241,0.0021981887970372563,0.12329204500728247,0.007930378595476241,0.0021981887970372563,0.0044936525800691185,0.020934754631559454,0.005802817929281251,9.433962264150943e-05,0.0006603773584905661,0.00018304726486564966,5760.0,0.0,0.0,5760.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.00022679626453211358,0.0011179550198362833,0.00030988132163040864,0.0,0.0,0.0,0.0,0.0,0.0,0.0002773868875071591
Xiuzhou_Expressway Service District A,10,full,ON,50,0,0.09863363600582595,0.006344302876381008,0.0017585510376298091,0.09863363600582599,0.006344302876380993,0.001758551037629805,8.970564265459784e-05,0.0006279394985821848,0.00017405594882795856,0.0,0.0,0.0,7200.000000000001,8.093991877571895e-12,2.2435400850519695e-12,7200.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,12,full,ON,50,0,0.08219469667152168,0.005286919063650823,0.001465459198024836,0.08219469667152167,0.005286919063650828,0.0014654591980248375,0.0,0.0,0.0,0.0,0.0,0.0,8639.999999999998,1.0868366550341056e-11,3.0125575097615447e-12,8640.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,14,full,ON,50,0,0.07045259714701854,0.004531644911700707,0.0012561078840212885,0.07045259714701856,0.004531644911700709,0.0012561078840212891,0.0,0.0,0.0,0.0,0.0,0.0,10080.000000000002,1.065313005845115e-11,2.9528969980356754e-12,10080.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,16,full,ON,50,0,0.061646022503641235,0.003965189297738121,0.0010990943985186281,0.061646022503641235,0.003965189297738121,0.0010990943985186281,0.0,0.0,0.0,0.0,0.0,0.0,11520.0,0.0,0.0,11520.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,18,full,ON,50,0,0.054796464447681104,0.003524612709100548,0.000976972798683224,0.054796464447681104,0.0035246127091005525,0.0009769727986832252,0.0,0.0,0.0,0.0,0.0,0.0,12960.0,1.3066372045481672e-11,3.6218135493156404e-12,12960.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,20,full,ON,50,0,0.049316818002912974,0.003172151438190504,0.0008792755188149046,0.049316818002912995,0.0031721514381904967,0.0008792755188149025,0.0,0.0,0.0,0.0,0.0,0.0,14400.000000000002,1.618798375514379e-11,4.487080170103939e-12,14400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,22,full,ON,50,0,0.04483347091173908,0.0028837740347186264,0.0007993413807408186,0.04483347091173908,0.0028837740347186333,0.0007993413807408205,0.0,0.0,0.0,0.0,0.0,0.0,15840.000000000005,1.5679224408457194e-11,4.34605927396256e-12,15840.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,24,full,ON,50,0,0.04109734833576084,0.0026434595318254113,0.000732729599012418,0.041097348335760835,0.002643459531825414,0.0007327295990124188,0.0,0.0,0.0,0.0,0.0,0.0,17279.999999999996,2.1736733100682112e-11,6.025115019523089e-12,17280.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,26,full,ON,50,0,0.037936013848394616,0.0024401164909157672,0.0006763657837037712,0.0379360138483946,0.002440116490915767,0.0006763657837037711,0.0,0.0,0.0,0.0,0.0,0.0,18719.999999999993,1.9098522532158948e-11,5.2938403589083965e-12,18720.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,28,full,ON,50,0,0.03522629857350927,0.0022658224558503534,0.0006280539420106442,0.03522629857350928,0.0022658224558503547,0.0006280539420106446,0.0,0.0,0.0,0.0,0.0,0.0,20160.000000000004,2.13062601169023e-11,5.905793996071351e-12,20160.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,30,full,ON,50,0,0.03287787866860866,0.002114767625460335,0.0005861836792099361,0.03287787866860866,0.0021147676254603307,0.0005861836792099349,0.0,0.0,0.0,0.0,0.0,0.0,21600.0,2.261992130182598e-11,6.269922299031458e-12,21600.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,2,heuristic_historical,ON,50,0,0.493020495059235,0.031359796080591903,0.00869249199036383,0.493020495059235,0.031359796080591903,0.00869249199036383,51.680256260153044,13.591028079108204,3.767240782269402,0.42238245356786897,0.04470446917300704,0.012391446654218674,1440.0,0.0,0.0,1440.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.4506210229901246,0.042474010210648214,0.011773194972501316,4.006220564456016,4.718275584885625,1.3078392673391832,257.01091007027804,75.38079841789185,20.89449130315862,0.4347739002220876
Xiuzhou_Expressway Service District A,4,heuristic_historical,ON,50,0,0.3154909207493903,0.02025861638336538,0.005615401968676744,0.24657645279647725,0.015868079181212597,0.0043984071462286785,2.8531876943039003,1.7699237405642962,0.4905978310213408,0.04854699717952014,0.017727851392359058,0.004913909702678551,2250.8861948560484,0.8547975509399646,0.23693779276603044,2250.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.05878265546339801,0.019165906264211458,0.005312518176507784,0.0,0.0,0.0,14.693248487175012,10.010410228593651,2.7747441503983166,0.05346090688219869
Xiuzhou_Expressway Service District A,6,heuristic_historical,ON,50,0,0.29575728684397967,0.018985138746085383,0.005262411976856781,0.16438430186431816,0.010578719454141733,0.0029322714308191193,1.837021016135403,1.3670808241683778,0.3789354715102252,0.0292533873457234,0.014241770025955452,0.003947617247289346,2401.0671356488638,0.9025492339598437,0.2501738840055899,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.03597303675754564,0.015300622553811724,0.0042411161939570315,0.0,0.0,0.0,4.579633016943223,6.878669865497006,1.906670010115104,0.03320100459301274
Xiuzhou_Expressway Service District A,8,heuristic_historical,ON,50,0,0.29575728684397967,0.018985138746085383,0.005262411976856781,0.12328822639823862,0.007934039590606299,0.0021992035731143392,1.837021016135403,1.3670808241683778,0.3789354715102252,0.0292533873457234,0.014241770025955452,0.003947617247289346,2401.0671356488638,0.9025492339598437,0.2501738840055899,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.03597303675754564,0.015300622553811724,0.0042411161939570315,0.0,0.0,0.0,4.579633016943223,6.878669865497006,1.906670010115104,0.03320100459301274
Xiuzhou_Expressway Service District A,10,heuristic_historical,ON,50,0,0.29575728684397967,0.018985138746085383,0.005262411976856781,0.0986305811185909,0.006347231672485041,0.0017593628584914717,1.837021016135403,1.3670808241683778,0.3789354715102252,0.0292533873457234,0.014241770025955452,0.003947617247289346,2401.0671356488638,0.9025492339598437,0.2501738840055899,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.03597303675754564,0.015300622553811724,0.0042411161939570315,0.0,0.0,0.0,4.579633016943223,6.878669865497006,1.906670010115104,0.03320100459301274
Xiuzhou_Expressway Service District A,12,heuristic_historical,ON,50,0,0.29575728684397967,0.018985138746085383,0.005262411976856781,0.08219215093215908,0.005289359727070867,0.0014661357154095596,1.837021016135403,1.3670808241683778,0.3789354715102252,0.0292533873457234,0.014241770025955452,0.003947617247289346,2401.0671356488638,0.9025492339598437,0.2501738840055899,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.03597303675754564,0.015300622553811724,0.0042411161939570315,0.0,0.0,0.0,4.579633016943223,6.878669865497006,1.906670010115104,0.03320100459301274
Xiuzhou_Expressway Service District A,14,heuristic_historical,ON,50,0,0.29575728684397967,0.018985138746085383,0.005262411976856781,0.07045041508470778,0.004533736908917885,0.001256687756065337,1.837021016135403,1.3670808241683778,0.3789354715102252,0.0292533873457234,0.014241770025955452,0.003947617247289346,2401.0671356488638,0.9025492339598437,0.2501738840055899,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.16909287558380218,0.01699925109608471,0.004711952004252664,0.8559444444444446,0.029792285023367726,0.008258000092689769,0.03597303675754564,0.015300622553811724,0.0042411161939570315,0.0,0.0,0.0,4.579633016943223,6.878669865497006,1.906670010115104,0.03320100459301274
