station,sizing_scenario,dominant_type,peak_lambda_per_hour,mu_per_min,cv,cv_source,service_param_scope,station_mix_json,mix_coverage,rho_total,s,p_wait_zero_mms,p_wait_mms,p_wait_mgs,mean_wait_mms_min,mean_wait_mgs_min,probability_metric
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,1,1.0,1.0,1.0,inf,inf,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,2,0.8229137475653163,0.7758108801690288,0.7919450861082875,209.41905204148262,321.79142100937196,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,3,0.3372962407761394,0.2490678308843433,0.27688936998143904,16.68482040073987,25.637744100650025,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,4,0.12010833404891806,0.06946785195846525,0.08410502743881204,3.2904587768377684,5.056089191740041,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,5,0.037121369004070676,0.01681664283921271,0.022173121123024102,0.7032127257134727,1.0805503132274137,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,6,0.010009442239477395,0.0035516469088405157,0.0050999598182550065,0.14490792766618216,0.22266421084738436,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,7,0.0023755196374856268,0.0006602115531064723,0.0010324511990516113,0.027829181310026735,0.04276206826448186,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,8,0.0005012600150774717,0.00010911693212169477,0.00018583520983128012,0.004931380706216855,0.007577514985013812,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,9,9.498067902423064e-05,1.6194552196720442e-05,3.0036839993998873e-05,0.0008053766649999453,0.0012375344981830265,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,10,1.630841200089509e-05,2.1779601911252756e-06,4.39931112583502e-06,0.00012150554581745172,0.00018670432259129967,p_wait_gt_15min
