station,hour,lambda_mean,lambda_std,lambda_ci_low,lambda_ci_high,n_days
Nanhu_Financial Industrial Park,0,0.3551912568306011,0.9026865762965858,0.2957308743169399,0.42421448087431696,732
Nanhu_Financial Industrial Park,1,0.20218579234972678,0.6554793806916864,0.16120218579234974,0.24863387978142076,732
Nanhu_Financial Industrial Park,2,0.10245901639344263,0.37594490851910584,0.07650273224043716,0.13531420765027316,732
Nanhu_Financial Industrial Park,3,0.0778688524590164,0.36719343636903157,0.0546448087431694,0.10655737704918032,732
Nanhu_Financial Industrial Park,4,0.050546448087431695,0.2592469928689243,0.03415300546448088,0.07103825136612021,732
Nanhu_Financial Industrial Park,5,0.11065573770491803,0.4376858764741921,0.08333333333333333,0.14351092896174855,732
Nanhu_Financial Industrial Park,6,0.28415300546448086,0.8601976794276612,0.21584699453551912,0.3374999999999999,732
Nanhu_Financial Industrial Park,7,0.21721311475409835,0.5590483348542243,0.1782445355191257,0.26028005464480874,732
Nanhu_Financial Industrial Park,8,0.4453551912568306,0.8143835277689078,0.38992486338797816,0.49525273224043714,732
Nanhu_Financial Industrial Park,9,1.1352459016393444,1.7674711837577712,1.010860655737705,1.2595628415300546,732
Nanhu_Financial Industrial Park,10,1.5819672131147542,1.8142474470692103,1.4555669398907103,1.702903005464481,732
Nanhu_Financial Industrial Park,11,3.7868852459016393,4.214942168127284,3.4882855191256827,4.073258196721311,732
Nanhu_Financial Industrial Park,12,3.191256830601093,3.142146321725839,2.9717554644808746,3.388695355191257,732
Nanhu_Financial Industrial Park,13,2.83879781420765,2.6801642920006974,2.6659494535519124,3.0437158469945356,732
Nanhu_Financial Industrial Park,14,2.829234972677596,2.674205296781852,2.63849043715847,3.0262295081967214,732
Nanhu_Financial Industrial Park,15,2.7363387978142075,2.753461541832462,2.547814207650273,2.9262295081967213,732
Nanhu_Financial Industrial Park,16,1.9057377049180328,2.216866048610516,1.7459016393442623,2.064275956284153,732
