station,quarter,hour,lambda_mean,n_days
Nanhu_Financial Industrial Park,2021Q3,16,1.673913043478261,92
Nanhu_Financial Industrial Park,2021Q3,17,0.5869565217391305,92
Nanhu_Financial Industrial Park,2021Q3,18,0.05434782608695652,92
Nanhu_Financial Industrial Park,2021Q3,19,0.03260869565217391,92
Nanhu_Financial Industrial Park,2021Q3,20,0.0,92
Nanhu_Financial Industrial Park,2021Q3,21,0.0,92
Nanhu_Financial Industrial Park,2021Q3,22,0.0,92
Nanhu_Financial Industrial Park,2021Q3,23,0.0,92
Nanhu_Financial Industrial Park,2021Q4,0,0.0,92
Nanhu_Financial Industrial Park,2021Q4,1,0.0,92
Nanhu_Financial Industrial Park,2021Q4,2,0.0,92
Nanhu_Financial Industrial Park,2021Q4,3,0.0,92
Nanhu_Financial Industrial Park,2021Q4,4,0.0,92
Nanhu_Financial Industrial Park,2021Q4,5,0.0,92
Nanhu_Financial Industrial Park,2021Q4,6,0.021739130434782608,92
Nanhu_Financial Industrial Park,2021Q4,7,0.20652173913043478,92
Nanhu_Financial Industrial Park,2021Q4,8,0.7282608695652174,92
Nanhu_Financial Industrial Park,2021Q4,9,1.6521739130434783,92
Nanhu_Financial Industrial Park,2021Q4,10,2.630434782608696,92
Nanhu_Financial Industrial Park,2021Q4,11,8.858695652173912,92
Nanhu_Financial Industrial Park,2021Q4,12,6.695652173913044,92
Nanhu_Financial Industrial Park,2021Q4,13,4.782608695652174,92
Nanhu_Financial Industrial Park,2021Q4,14,4.815217391304348,92
Nanhu_Financial Industrial Park,2021Q4,15,4.260869565217392,92
Nanhu_Financial Industrial Park,2021Q4,16,3.141304347826087,92
Nanhu_Financial Industrial Park,2021Q4,17,1.0434782608695652,92
Nanhu_Financial Industrial Park,2021Q4,18,0.043478260869565216,92
Nanhu_Financial Industrial Park,2021Q4,19,0.010869565217391304,92
Nanhu_Financial Industrial Park,2021Q4,20,0.0,92
Nanhu_Financial Industrial Park,2021Q4,21,0.0,92
Nanhu_Financial Industrial Park,2021Q4,22,0.0,92
Nanhu_Financial Industrial Park,2021Q4,23,0.0,92
Nanhu_Technology Park,2019Q4,0,0.0,1
Nanhu_Technology Park,2019Q4,1,0.0,1
Nanhu_Technology Park,2019Q4,2,0.0,1
Nanhu_Technology Park,2019Q4,3,0.0,1
Nanhu_Technology Park,2019Q4,4,0.0,1
Nanhu_Technology Park,2019Q4,5,0.0,1
Nanhu_Technology Park,2019Q4,6,0.0,1
Nanhu_Technology Park,2019Q4,7,0.0,1
Nanhu_Technology Park,2019Q4,8,0.0,1
Nanhu_Technology Park,2019Q4,9,0.0,1
Nanhu_Technology Park,2019Q4,10,0.0,1
Nanhu_Technology Park,2019Q4,11,0.0,1
Nanhu_Technology Park,2019Q4,12,0.0,1
Nanhu_Technology Park,2019Q4,13,0.0,1
Nanhu_Technology Park,2019Q4,14,0.0,1
Nanhu_Technology Park,2019Q4,15,0.0,1
Nanhu_Technology Park,2019Q4,16,0.0,1
Nanhu_Technology Park,2019Q4,17,0.0,1
Nanhu_Technology Park,2019Q4,18,0.0,1
Nanhu_Technology Park,2019Q4,19,0.0,1
Nanhu_Technology Park,2019Q4,20,0.0,1
Nanhu_Technology Park,2019Q4,21,0.0,1
Nanhu_Technology Park,2019Q4,22,0.0,1
Nanhu_Technology Park,2019Q4,23,0.0,1
Nanhu_Technology Park,2020Q1,0,0.2967032967032967,91
Nanhu_Technology Park,2020Q1,1,0.38461538461538464,91
Nanhu_Technology Park,2020Q1,2,0.13186813186813187,91
Nanhu_Technology Park,2020Q1,3,0.10989010989010989,91
Nanhu_Technology Park,2020Q1,4,0.054945054945054944,91
Nanhu_Technology Park,2020Q1,5,0.07692307692307693,91
Nanhu_Technology Park,2020Q1,6,0.07692307692307693,91
Nanhu_Technology Park,2020Q1,7,0.13186813186813187,91
Nanhu_Technology Park,2020Q1,8,0.26373626373626374,91
Nanhu_Technology Park,2020Q1,9,0.6373626373626373,91
Nanhu_Technology Park,2020Q1,10,0.8461538461538461,91
Nanhu_Technology Park,2020Q1,11,0.8021978021978022,91
Nanhu_Technology Park,2020Q1,12,1.10989010989011,91
Nanhu_Technology Park,2020Q1,13,1.043956043956044,91
Nanhu_Technology Park,2020Q1,14,1.3406593406593406,91
Nanhu_Technology Park,2020Q1,15,1.4065934065934067,91
Nanhu_Technology Park,2020Q1,16,1.3296703296703296,91
Nanhu_Technology Park,2020Q1,17,0.7142857142857143,91
Nanhu_Technology Park,2020Q1,18,0.8131868131868132,91
Nanhu_Technology Park,2020Q1,19,1.0769230769230769,91
Nanhu_Technology Park,2020Q1,20,0.7252747252747253,91
Nanhu_Technology Park,2020Q1,21,0.9120879120879121,91
Nanhu_Technology Park,2020Q1,22,0.9010989010989011,91
Nanhu_Technology Park,2020Q1,23,0.945054945054945,91
Nanhu_Technology Park,2020Q2,0,2.142857142857143,91
Nanhu_Technology Park,2020Q2,1,1.4395604395604396,91
Nanhu_Technology Park,2020Q2,2,0.7032967032967034,91
Nanhu_Technology Park,2020Q2,3,0.8241758241758241,91
Nanhu_Technology Park,2020Q2,4,0.6373626373626373,91
Nanhu_Technology Park,2020Q2,5,0.5054945054945055,91
Nanhu_Technology Park,2020Q2,6,0.6483516483516484,91
Nanhu_Technology Park,2020Q2,7,1.032967032967033,91
